Operation_ID,Operator_ID,Operation_type,Operation_timestamp,OHH_code,Location_from,Location_to,Reference_ID,Reference_name,Qty,TKID_code,Order_ID,Operation_status
OP299569,A000017,MOVE,1765267359,659350,ST10,TPA,P00C37,"Edriseur type ""C37""",47,69596,FOD81941,OK
OP299570,A999999,ORDER,1765267634,741239,,,,,,602434,FOD80287,OK
OP299571,A000017,MOVE,1765267646,433154,PROD,ST10,P00C14,"Edriseur type ""C14""",2,407214,FOD80865,OK
OP299572,A000017,MOVE,1765267760,265020,PROD,ST10,P00X02,"Edriseur luxe ""X02""",6,228170,FOD80287,OK
OP299573,A999999,ORDER,1765267802,243681,,,,,,489406,FOD79722,OK
OP299574,A000017,MOVE,1765267872,460502,TPA,SHIP,P00C37,"Edriseur type ""C37""",47,638132,FOD81941,OK
OP299575,A000128,MOVE,1765268104,444032,ST20,TPA,P00X25,"Edriseur nouveau ""2025""",21,24164,FOD81251,OK
OP299576,A000106,MOVE,1765268300,422464,PROD,ST10,P00C18,"Edriseur type ""C18""",28,178245,FOD79722,OK
OP299577,A999999,ORDER,1765268313,620762,,,,,,318692,AZO79756,OK
OP299578,A000133,MOVE,1765268318,498492,ST10,TPA,P00X02,"Edriseur luxe ""X02""",6,268745,FOD80287,OK
OP299579,A000024,MOVE,1765268339,756417,TPA,SHIP,P00X25,"Edriseur nouveau ""2025""",21,693836,FOD81251,OK
OP299580,A000127,MOVE,1765268581,471706,ST20,QUA,P00C18,"Edriseur type ""C18""",83,213787,AZO81505,OK
OP299581,A999999,ORDER,1765268603,311598,,,,,,763221,SMP80133,OK
OP299582,A000017,MOVE,1765268649,99354,PROD,ST10,P00C37,"Edriseur type ""C37""",3,306242,AZO79756,OK
OP299583,A000017,MOVE,1765268695,393,TPA,SHIP,P00X02,"Edriseur luxe ""X02""",6,397923,FOD80287,OK
OP299584,A000106,MOVE,1765268782,399239,ST10,TPA,P00C14,"Edriseur type ""C14""",2,48720,FOD80865,OK
OP299585,A000133,MOVE,1765269040,92175,QUA,ST20,P00C18,"Edriseur type ""C18""",83,360924,AZO81505,OK
OP299586,A000017,MOVE,1765269072,8791,TPA,SHIP,P00C14,"Edriseur type ""C14""",2,303507,FOD80865,OK
OP299587,A999999,ORDER,1765269136,232811,,,,,,401230,FOD80755,OK
OP299588,A999999,ORDER,1765269139,811232,,,,,,57715,FOD80928,OK
OP299589,A000024,MOVE,1765269161,524956,PROD,ST10,P00V80,"Edriseur turbo ""V80""",11,26876,SMP80133,OK
OP299590,A000024,MOVE,1765269232,644273,ST10,QUA,P00C37,"Edriseur type ""C37""",3,190100,AZO79756,OK
OP299591,A000017,MOVE,1765269280,261319,ST20,TPA,P00C18,"Edriseur type ""C18""",83,576935,AZO81505,OK
OP299592,A000127,MOVE,1765269458,563798,TPA,SHIP,P00C18,"Edriseur type ""C18""",83,809899,AZO81505,OK
OP299593,A000024,MOVE,1765269565,275070,ST10,TPA,P00V80,"Edriseur turbo ""V80""",11,726195,SMP80133,OK
OP299594,A999999,ORDER,1765269641,332832,,,,,,42430,GAA82019,OK
OP299595,A000106,MOVE,1765269706,561544,PROD,ST10,P00X01,"Edriseur luxe ""X01""",78,322584,FOD80755,OK
OP299596,A999999,ORDER,1765269773,114745,,,,,,334284,FOD81973,OK
OP299597,A000017,MOVE,1765269904,522540,TPA,SHIP,P00V80,"Edriseur turbo ""V80""",11,465932,SMP80133,OK
OP299598,A000017,MOVE,1765269993,443610,PROD,ST20,P00V85,"Edriseur turbo ""V85""",26,481954,GAA82019,OK
OP299599,A000017,MOVE,1765270046,673689,PROD,ST10,P00X02,"Edriseur luxe ""X02""",79,39975,FOD80928,OK
OP299600,A000133,MOVE,1765270128,138576,ST20,QUA,P00V85,"Edriseur turbo ""V85""",26,464337,GAA82019,OK
OP299601,A000017,MOVE,1765270196,613881,ST10,TPA,P00X01,"Edriseur luxe ""X01""",78,678025,FOD80755,OK
OP299602,A999999,ORDER,1765270266,492947,,,,,,360152,FOD79965,OK
OP299603,A000024,MOVE,1765270343,709045,ST10,TPA,P00X02,"Edriseur luxe ""X02""",79,389526,FOD80928,OK
OP299604,A999999,ORDER,1765270517,579633,,,,,,367880,FOD79894,OK
OP299605,A999999,ORDER,1765270534,802068,,,,,,501095,FOD79798,OK
OP299606,A000127,MOVE,1765270545,500713,TPA,SHIP,P00X02,"Edriseur luxe ""X02""",79,385740,FOD80928,OK
OP299607,A000133,MOVE,1765270558,537514,ST10,TPA,P00C18,"Edriseur type ""C18""",28,212494,FOD79722,OK
OP299608,A000127,MOVE,1765270630,391847,QUA,ST20,P00V85,"Edriseur turbo ""V85""",26,396623,GAA82019,OK
OP299609,A000024,MOVE,1765270682,86368,PROD,TPA,P00X01,"Edriseur luxe ""X01""",45,355608,FOD79894,OK
OP299610,A000017,MOVE,1765270778,334129,ST20,TPA,P00V85,"Edriseur turbo ""V85""",26,348474,GAA82019,OK
OP299611,A999999,ORDER,1765270887,214369,,,,,,718335,FOD79815,OK
OP299612,A999999,ORDER,1765270908,509202,,,,,,37222,AZO80067,OK
OP299613,A000106,MOVE,1765270966,550538,PROD,ST20,P00X01,"Edriseur luxe ""X01""",97,663943,FOD79965,OK
OP299614,A000017,MOVE,1765270984,264769,TPA,SHIP,P00X01,"Edriseur luxe ""X01""",78,225599,FOD80755,OK
OP299615,A999999,ORDER,1765270990,296707,,,,,,300993,AZO81530,OK
OP299616,A000024,MOVE,1765271101,596868,PROD,TPA,P00X99,"Edriseur luxe ""X99""",22,741145,FOD79798,OK
OP299617,A000024,MOVE,1765271125,45363,QUA,ST10,P00C37,"Edriseur type ""C37""",3,633720,AZO79756,OK
OP299618,A000127,MOVE,1765271182,466802,TPA,SHIP,P00V85,"Edriseur turbo ""V85""",26,621911,GAA82019,OK
OP299619,A000024,MOVE,1765271350,231710,TPA,SHIP,P00X99,"Edriseur luxe ""X99""",22,652102,FOD79798,OK
OP299620,A999999,ORDER,1765271414,264834,,,,,,610329,SMP81157,OK
OP299621,A000017,MOVE,1765271460,38514,ST20,QUA,P00X01,"Edriseur luxe ""X01""",97,748312,FOD79965,OK
OP299622,A000024,MOVE,1765271464,490948,PROD,ST10,P00C37,"Edriseur type ""C37""",124,499363,FOD79815,OK
OP299623,A000017,MOVE,1765271479,681600,PROD,ST20,P00C13,"Edriseur type ""C13""",8,160615,AZO81530,OK
OP299624,A000017,MOVE,1765271548,765061,PROD,ST10,P00X99,"Edriseur luxe ""X99""",65,412920,SMP81157,OK
OP299625,A000017,MOVE,1765271612,285536,QUA,ST20,P00X01,"Edriseur luxe ""X01""",97,75005,FOD79965,OK
OP299626,A000106,MOVE,1765271641,411675,TPA,SHIP,P00C18,"Edriseur type ""C18""",28,63990,FOD79722,OK
OP299627,A000017,MOVE,1765271653,170465,ST10,TPA,P00C37,"Edriseur type ""C37""",3,760400,AZO79756,OK
OP299628,A000062,MOVE,1765271721,230266,ST20,QUA,P00C13,"Edriseur type ""C13""",8,652152,AZO81530,OK
OP299629,A000024,MOVE,1765271770,445823,ST20,TPA,P00X01,"Edriseur luxe ""X01""",97,601557,FOD79965,OK
OP299630,A000017,MOVE,1765271830,221737,TPA,SHIP,P00C37,"Edriseur type ""C37""",3,319678,AZO79756,OK
OP299631,A000024,MOVE,1765271861,612781,ST10,TPA,P00C37,"Edriseur type ""C37""",124,669746,FOD79815,OK
OP299632,A000128,MOVE,1765271865,406128,ST10,QUA,P00X99,"Edriseur luxe ""X99""",65,33795,SMP81157,OK
OP299633,A999999,ORDER,1765271977,622667,,,,,,453980,FOD80499,OK
OP299634,A999999,ORDER,1765272024,775698,,,,,,322023,AZO81070,OK
OP299635,A999999,ORDER,1765272032,204573,,,,,,353377,AZO80580,OK
OP299636,A000017,MOVE,1765272090,627862,TPA,SHIP,P00X01,"Edriseur luxe ""X01""",45,704578,FOD79894,OK
OP299637,A999999,ORDER,1765272105,356314,,,,,,201207,SMP80015,OK
OP299638,A000017,MOVE,1765272177,609976,QUA,ST20,P00C13,"Edriseur type ""C13""",8,681948,AZO81530,OK
OP299639,A000017,MOVE,1765272181,382546,TPA,SHIP,P00X01,"Edriseur luxe ""X01""",97,571058,FOD79965,OK
OP299640,A000106,MOVE,1765272232,778977,QUA,ST10,P00X99,"Edriseur luxe ""X99""",65,719488,SMP81157,OK
OP299641,A000128,MOVE,1765272364,211766,PROD,ST10,P00C18,"Edriseur type ""C18""",2,50277,AZO81070,OK
OP299642,A000024,MOVE,1765272369,693952,TPA,SHIP,P00C37,"Edriseur type ""C37""",124,603112,FOD79815,OK
OP299643,A999999,ORDER,1765272376,570962,,,,,,442706,FOD80232,OK
OP299644,A000017,MOVE,1765272378,730777,ST20,TPA,P00C13,"Edriseur type ""C13""",8,622615,AZO81530,OK
OP299645,A000024,MOVE,1765272382,586160,PROD,ST10,P00C37,"Edriseur type ""C37""",4,307924,SMP80015,OK
OP299646,A000127,MOVE,1765272394,93922,PROD,ST10,P00X02,"Edriseur luxe ""X02""",3,126829,FOD81973,OK
OP299647,A000017,MOVE,1765272491,102560,PROD,ST10,P00X02,"Edriseur luxe ""X02""",41,350874,AZO80580,OK
OP299648,A000133,MOVE,1765272493,809847,PROD,TPA,P00C13,"Edriseur type ""C13""",5,776171,FOD80499,OK
OP299649,A000024,MOVE,1765272504,472067,ST10,TPA,P00C37,"Edriseur type ""C37""",4,781567,SMP80015,OK
OP299650,A000017,MOVE,1765272668,812447,PROD,ST10,P00X02,"Edriseur luxe ""X02""",37,238950,AZO80067,OK
OP299651,A000017,MOVE,1765272684,137404,TPA,SHIP,P00C37,"Edriseur type ""C37""",4,103225,SMP80015,OK
OP299652,A000127,MOVE,1765272777,625562,PROD,ST10,P00X25,"Edriseur nouveau ""2025""",4,300382,FOD80232,OK
OP299653,A000024,MOVE,1765272823,386082,ST10,TPA,P00X99,"Edriseur luxe ""X99""",65,441291,SMP81157,OK
OP299654,A000017,MOVE,1765272879,690957,ST10,QUA,P00X02,"Edriseur luxe ""X02""",3,490673,FOD81973,OK
OP299655,A000017,MOVE,1765272966,755202,TPA,SHIP,P00C13,"Edriseur type ""C13""",8,336870,AZO81530,OK
OP299656,A000017,MOVE,1765273012,1359,ST10,TPA,P00X02,"Edriseur luxe ""X02""",37,610321,AZO80067,OK
OP299657,A000127,MOVE,1765273088,391015,ST10,TPA,P00X02,"Edriseur luxe ""X02""",41,214415,AZO80580,OK
OP299658,A000106,MOVE,1765273093,641089,ST10,TPA,P00X25,"Edriseur nouveau ""2025""",4,538791,FOD80232,OK
OP299659,A000024,MOVE,1765273189,78977,TPA,SHIP,P00X99,"Edriseur luxe ""X99""",65,649381,SMP81157,OK
OP299660,A000024,MOVE,1765273446,555443,QUA,ST10,P00X02,"Edriseur luxe ""X02""",3,431550,FOD81973,OK
OP299661,A000017,MOVE,1765273485,393375,TPA,SHIP,P00X02,"Edriseur luxe ""X02""",41,203656,AZO80580,OK
OP299662,A000127,MOVE,1765273539,662232,TPA,SHIP,P00X02,"Edriseur luxe ""X02""",37,364989,AZO80067,OK
OP299663,A000133,MOVE,1765273584,591806,TPA,SHIP,P00C13,"Edriseur type ""C13""",5,750598,FOD80499,OK
OP299664,A000024,MOVE,1765273753,547721,ST10,TPA,P00C18,"Edriseur type ""C18""",2,113377,AZO81070,OK
OP299665,A000017,MOVE,1765273900,575524,TPA,SHIP,P00C18,"Edriseur type ""C18""",2,22516,AZO81070,OK
OP299666,A999999,ORDER,1765273973,45329,,,,,,434685,FOD79719,OK
OP299667,A999999,ORDER,1765274104,804510,,,,,,497991,GAA80042,OK
OP299668,A000017,MOVE,1765274245,131854,TPA,SHIP,P00X25,"Edriseur nouveau ""2025""",4,293999,FOD80232,OK
OP299669,A000062,MOVE,1765274277,773365,ST10,TPA,P00X02,"Edriseur luxe ""X02""",3,128832,FOD81973,OK
OP299670,A000062,MOVE,1765274477,613805,PROD,TPA,P00C14,"Edriseur type ""C14""",11,634026,FOD79719,OK
OP299671,A000017,MOVE,1765274534,635810,PROD,ST10,P00C37,"Edriseur type ""C37""",11,656842,GAA80042,OK
OP299672,A999999,ORDER,1765274535,341240,,,,,,535625,FOD80689,OK
OP299673,A999999,ORDER,1765274549,353775,,,,,,352761,FOD80825,OK
OP299674,A000024,MOVE,1765274672,637952,TPA,SHIP,P00X02,"Edriseur luxe ""X02""",3,398770,FOD81973,OK
OP299675,A999999,ORDER,1765274678,68528,,,,,,772607,GAA80040,OK
OP299676,A999999,ORDER,1765274716,709640,,,,,,525765,AZO81723,OK
OP299677,A000127,MOVE,1765274805,4866,PROD,ST10,P00X01,"Edriseur luxe ""X01""",3,475038,FOD80825,OK
OP299678,A000017,MOVE,1765274883,30178,ST10,TPA,P00C37,"Edriseur type ""C37""",11,344352,GAA80042,OK
OP299679,A000106,MOVE,1765274965,106047,PROD,TPA,P00C37,"Edriseur type ""C37""",134,642349,GAA80040,OK
OP299680,A000024,MOVE,1765274988,734189,TPA,SHIP,P00C14,"Edriseur type ""C14""",11,146770,FOD79719,OK
OP299681,A000017,MOVE,1765275034,555693,PROD,ST10,P00C37,"Edriseur type ""C37""",6,580565,FOD80689,OK
OP299682,A000017,MOVE,1765275036,328208,PROD,ST10,P00V85,"Edriseur turbo ""V85""",44,785263,AZO81723,OK
OP299683,A999999,ORDER,1765275319,655739,,,,,,594692,AZO80599,OK
OP299684,A000024,MOVE,1765275375,191314,ST10,TPA,P00X01,"Edriseur luxe ""X01""",3,588173,FOD80825,OK
OP299685,A000106,MOVE,1765275424,3193,ST10,TPA,P00C37,"Edriseur type ""C37""",6,807262,FOD80689,OK
OP299686,A000106,MOVE,1765275433,367817,TPA,SHIP,P00C37,"Edriseur type ""C37""",11,550130,GAA80042,OK
OP299687,A999999,ORDER,1765275440,187905,,,,,,725895,SMP79791,OK
OP299688,A000133,MOVE,1765275478,392994,TPA,SHIP,P00C37,"Edriseur type ""C37""",134,589828,GAA80040,OK
OP299689,A999999,ORDER,1765275572,543002,,,,,,544936,AZO80261,OK
OP299690,A000127,MOVE,1765275595,707300,PROD,ST20,P00X25,"Edriseur nouveau ""2025""",136,193185,AZO80599,OK
OP299691,A000133,MOVE,1765275611,403133,ST10,TPA,P00V85,"Edriseur turbo ""V85""",44,590547,AZO81723,OK
OP299692,A000133,MOVE,1765275816,139619,TPA,SHIP,P00X01,"Edriseur luxe ""X01""",3,407453,FOD80825,OK
OP299693,A000017,MOVE,1765275876,204950,PROD,ST10,P00X02,"Edriseur luxe ""X02""",36,476612,SMP79791,OK
OP299694,A999999,ORDER,1765276064,304993,,,,,,628288,FOD80954,OK
OP299695,A000017,MOVE,1765276086,694115,ST20,QUA,P00X25,"Edriseur nouveau ""2025""",136,203936,AZO80599,OK
OP299696,A000106,MOVE,1765276207,35781,TPA,SHIP,P00V85,"Edriseur turbo ""V85""",44,209848,AZO81723,OK
OP299697,A000062,MOVE,1765276322,699746,PROD,ST10,P00X99,"Edriseur luxe ""X99""",15,421964,FOD80954,OK
OP299698,A000133,MOVE,1765276344,337906,ST10,TPA,P00X02,"Edriseur luxe ""X02""",36,160863,SMP79791,OK
OP299699,A000017,MOVE,1765276344,521173,PROD,ST10,P00C27,"Edriseur type ""C27""",2,778025,AZO80261,OK
OP299700,A999999,ORDER,1765276466,769788,,,,,,530789,FOD81930,OK
OP299701,A999999,ORDER,1765276525,585727,,,,,,202944,AZO81627,OK
OP299702,A000024,MOVE,1765276587,524708,PROD,ST10,P00X25,"Edriseur nouveau ""2025""",99,62487,FOD81930,OK
OP299703,A000106,MOVE,1765276615,92329,TPA,SHIP,P00X02,"Edriseur luxe ""X02""",36,252795,SMP79791,OK
OP299704,A000024,MOVE,1765276658,358339,QUA,ST20,P00X25,"Edriseur nouveau ""2025""",136,317770,AZO80599,OK
OP299705,A000017,MOVE,1765276719,114,PROD,ST10,P00C13,"Edriseur type ""C13""",36,184815,AZO81627,OK
OP299706,A000017,MOVE,1765276730,735790,ST10,TPA,P00C27,"Edriseur type ""C27""",2,745964,AZO80261,OK
OP299707,A000128,MOVE,1765276758,289705,TPA,SHIP,P00C37,"Edriseur type ""C37""",6,147409,FOD80689,OK
OP299708,A000024,MOVE,1765276797,631020,ST10,TPA,P00X99,"Edriseur luxe ""X99""",15,417841,FOD80954,OK
OP299709,A999999,ORDER,1765276997,135929,,,,,,235308,FOD80006,OK
OP299710,A000127,MOVE,1765277009,705018,TPA,SHIP,P00X99,"Edriseur luxe ""X99""",15,691720,FOD80954,OK
OP299711,A000133,MOVE,1765277134,674428,ST10,TPA,P00X25,"Edriseur nouveau ""2025""",99,676859,FOD81930,OK
OP299712,A999999,ORDER,1765277150,255703,,,,,,261378,SMP81563,OK
OP299713,A000024,MOVE,1765277154,633242,ST10,TPA,P00C13,"Edriseur type ""C13""",36,304974,AZO81627,OK
OP299714,A000127,MOVE,1765277240,695748,TPA,SHIP,P00C27,"Edriseur type ""C27""",2,529101,AZO80261,OK
OP299715,A999999,ORDER,1765277292,225441,,,,,,155539,FOD80863,OK
OP299716,A000133,MOVE,1765277365,361362,PROD,ST20,P00C19,"Edriseur type ""C19""",13,172128,SMP81563,OK
OP299717,A000133,MOVE,1765277487,620481,ST20,TPA,P00X25,"Edriseur nouveau ""2025""",136,565308,AZO80599,OK
OP299718,A000062,MOVE,1765277526,777418,PROD,ST10,P00V90,"Edriseur turbo ""V90""",44,551029,FOD80006,OK
OP299719,A000017,MOVE,1765277535,790158,ST20,QUA,P00C19,"Edriseur type ""C19""",13,106839,SMP81563,OK
OP299720,A000133,MOVE,1765277566,551544,TPA,SHIP,P00X25,"Edriseur nouveau ""2025""",99,164822,FOD81930,OK
OP299721,A000133,MOVE,1765277586,488334,TPA,SHIP,P00C13,"Edriseur type ""C13""",36,669942,AZO81627,OK
OP299722,A000017,MOVE,1765277848,649915,QUA,ST20,P00C19,"Edriseur type ""C19""",13,96686,SMP81563,OK
OP299723,A000017,MOVE,1765277981,406772,TPA,SHIP,P00X25,"Edriseur nouveau ""2025""",136,593715,AZO80599,OK
OP299724,A000024,MOVE,1765278002,61438,PROD,ST10,P00X99,"Edriseur luxe ""X99""",5,393007,FOD80863,OK
OP299725,A000133,MOVE,1765278007,426742,ST10,TPA,P00V90,"Edriseur turbo ""V90""",44,112931,FOD80006,OK
OP299726,A000017,MOVE,1765278026,145551,ST20,TPA,P00C19,"Edriseur type ""C19""",13,616851,SMP81563,OK
OP299727,A999999,ORDER,1765278224,341855,,,,,,650700,AZO79676,OK
OP299728,A000133,MOVE,1765278247,518822,ST10,TPA,P00X99,"Edriseur luxe ""X99""",5,146275,FOD80863,OK
OP299729,A999999,ORDER,1765278453,558914,,,,,,293359,AZO81902,OK
OP299730,A999999,ORDER,1765278523,562677,,,,,,383455,AZO81641,OK
OP299731,A000127,MOVE,1765278527,421405,TPA,SHIP,P00V90,"Edriseur turbo ""V90""",44,244791,FOD80006,OK
OP299732,A000017,MOVE,1765278610,716599,PROD,ST10,P00C27,"Edriseur type ""C27""",2,102170,AZO79676,OK
OP299733,A999999,ORDER,1765278616,457190,,,,,,363807,FOD80582,OK
OP299734,A999999,ORDER,1765278895,407313,,,,,,234355,GAA81441,OK
OP299735,A000024,MOVE,1765278950,120104,PROD,TPA,P00X25,"Edriseur nouveau ""2025""",58,420015,FOD80582,OK
OP299736,A000017,MOVE,1765278993,454046,PROD,ST10,P00C19,"Edriseur type ""C19""",18,636435,AZO81902,OK
OP299737,A000024,MOVE,1765279166,75865,ST10,TPA,P00C27,"Edriseur type ""C27""",2,125231,AZO79676,OK
OP299738,A000024,MOVE,1765279191,203209,TPA,SHIP,P00C19,"Edriseur type ""C19""",13,63749,SMP81563,OK
OP299739,A000127,MOVE,1765279284,629489,PROD,ST10,P00C37,"Edriseur type ""C37""",73,338318,GAA81441,OK
OP299740,A000024,MOVE,1765279528,777240,TPA,SHIP,P00C27,"Edriseur type ""C27""",2,290677,AZO79676,OK
OP299741,A000024,MOVE,1765279968,343193,ST10,TPA,P00C37,"Edriseur type ""C37""",73,362379,GAA81441,OK
OP299742,A000127,MOVE,1765280197,176182,ST10,TPA,P00C19,"Edriseur type ""C19""",18,589383,AZO81902,OK
OP299743,A000024,MOVE,1765280245,392326,TPA,SHIP,P00C37,"Edriseur type ""C37""",73,272041,GAA81441,OK
OP299744,A999999,ORDER,1765280412,627342,,,,,,637180,AZO81721,OK
OP299745,A000017,MOVE,1765280646,201759,TPA,SHIP,P00C19,"Edriseur type ""C19""",18,451606,AZO81902,OK
OP299746,A000024,MOVE,1765280675,106390,PROD,TPA,P00C37,"Edriseur type ""C37""",6,365976,AZO81721,OK
OP299747,A000106,MOVE,1765280843,588408,TPA,SHIP,P00X99,"Edriseur luxe ""X99""",5,108261,FOD80863,OK
OP299748,A000024,MOVE,1765280849,372866,TPA,SHIP,P00C37,"Edriseur type ""C37""",6,437632,AZO81721,OK
OP299749,A000024,MOVE,1765281223,568114,TPA,SHIP,P00X25,"Edriseur nouveau ""2025""",58,199904,FOD80582,OK
OP299750,A999999,ORDER,1765281415,502841,,,,,,551818,AZO81420,OK
OP299751,A000106,MOVE,1765281429,794850,PROD,ST10,P00X02,"Edriseur luxe ""X02""",22,519133,AZO81641,OK
OP299752,A000127,MOVE,1765281650,626066,PROD,TPA,P00X25,"Edriseur nouveau ""2025""",7,749301,AZO81420,OK
OP299753,A999999,ORDER,1765281706,664922,,,,,,296986,AZO81088,OK
OP299754,A000133,MOVE,1765281763,126912,ST10,TPA,P00X02,"Edriseur luxe ""X02""",22,230597,AZO81641,OK
OP299755,A000017,MOVE,1765281877,218915,TPA,SHIP,P00X25,"Edriseur nouveau ""2025""",7,625535,AZO81420,OK
OP299756,A000024,MOVE,1765281929,306581,PROD,ST10,P00C19,"Edriseur type ""C19""",122,484535,AZO81088,OK
OP299757,A999999,ORDER,1765282013,538175,,,,,,390892,FOD80096,OK
OP299758,A999999,ORDER,1765282062,572601,,,,,,87178,FOD79659,OK
OP299759,A999999,ORDER,1765282118,421090,,,,,,731701,FOD79694,OK
OP299760,A000106,MOVE,1765282218,208208,PROD,ST10,P00C37,"Edriseur type ""C37""",112,313916,FOD79659,OK
OP299761,A999999,ORDER,1765282280,663757,,,,,,685876,FOD81100,OK
OP299762,A000017,MOVE,1765282304,729787,ST10,TPA,P00C19,"Edriseur type ""C19""",122,798793,AZO81088,OK
OP299763,A000017,MOVE,1765282352,729079,TPA,SHIP,P00X02,"Edriseur luxe ""X02""",22,117740,AZO81641,OK
OP299764,A000024,MOVE,1765282404,750217,PROD,ST20,P00C19,"Edriseur type ""C19""",3,365480,FOD80096,OK
OP299765,A000017,MOVE,1765282534,403278,PROD,ST10,P00C19,"Edriseur type ""C19""",73,104275,FOD79694,OK
OP299766,A999999,ORDER,1765282626,669089,,,,,,130635,AZO80849,OK
OP299767,A000127,MOVE,1765282645,287907,ST10,TPA,P00C37,"Edriseur type ""C37""",112,451282,FOD79659,OK
OP299768,A000133,MOVE,1765282661,48014,TPA,SHIP,P00C19,"Edriseur type ""C19""",122,407472,AZO81088,OK
OP299769,A000062,MOVE,1765282723,169856,ST10,TPA,P00C19,"Edriseur type ""C19""",73,169653,FOD79694,OK
OP299770,A000017,MOVE,1765282723,814422,PROD,ST10,P00X01,"Edriseur luxe ""X01""",44,688888,FOD81100,OK
OP299771,A000024,MOVE,1765283082,428139,PROD,ST20,P00C18,"Edriseur type ""C18""",2,337996,AZO80849,OK
OP299772,A000024,MOVE,1765283143,462373,TPA,SHIP,P00C37,"Edriseur type ""C37""",112,574385,FOD79659,OK
OP299773,A000024,MOVE,1765283178,87923,TPA,SHIP,P00C19,"Edriseur type ""C19""",73,481437,FOD79694,OK
OP299774,A000017,MOVE,1765283277,497348,ST10,TPA,P00X01,"Edriseur luxe ""X01""",44,143011,FOD81100,OK
OP299775,A000127,MOVE,1765283307,640507,ST20,QUA,P00C18,"Edriseur type ""C18""",2,66269,AZO80849,OK
OP299776,A999999,ORDER,1765283333,167370,,,,,,670363,AZO81610,OK
OP299777,A000106,MOVE,1765283467,766703,TPA,SHIP,P00X01,"Edriseur luxe ""X01""",44,66286,FOD81100,OK
OP299778,A000017,MOVE,1765283513,247342,QUA,ST20,P00C18,"Edriseur type ""C18""",2,70262,AZO80849,OK
OP299779,A000106,MOVE,1765283678,284410,ST20,QUA,P00C19,"Edriseur type ""C19""",3,417119,FOD80096,OK
OP299780,A999999,ORDER,1765283695,518981,,,,,,549392,FOD81554,OK
OP299781,A000017,MOVE,1765283823,451075,QUA,ST20,P00C19,"Edriseur type ""C19""",3,106131,FOD80096,OK
OP299782,A000024,MOVE,1765283964,274117,PROD,TPA,P00C18,"Edriseur type ""C18""",35,670972,FOD81554,OK
OP299783,A999999,ORDER,1765283989,400821,,,,,,351350,AZO80905,OK
OP299784,A000133,MOVE,1765284068,384389,ST20,TPA,P00C19,"Edriseur type ""C19""",3,125489,FOD80096,OK
OP299785,A999999,ORDER,1765284374,643181,,,,,,120636,AZO81184,OK
OP299786,A000024,MOVE,1765284375,759738,PROD,ST10,P00X99,"Edriseur luxe ""X99""",6,618537,AZO81610,OK
OP299787,A000133,MOVE,1765284401,673801,ST20,TPA,P00C18,"Edriseur type ""C18""",2,404610,AZO80849,OK
OP299788,A000024,MOVE,1765284404,799735,TPA,SHIP,P00C19,"Edriseur type ""C19""",3,395770,FOD80096,OK
OP299789,A000024,MOVE,1765284433,454646,PROD,ST20,P00C37,"Edriseur type ""C37""",74,702595,AZO80905,OK
OP299790,A000106,MOVE,1765284521,259382,TPA,SHIP,P00C18,"Edriseur type ""C18""",35,744965,FOD81554,OK
OP299791,A000024,MOVE,1765284594,442960,ST20,QUA,P00C37,"Edriseur type ""C37""",74,602727,AZO80905,OK
OP299792,A000024,MOVE,1765284666,310295,ST10,TPA,P00X99,"Edriseur luxe ""X99""",6,761564,AZO81610,OK
OP299793,A000024,MOVE,1765284759,584742,PROD,TPA,P00C27,"Edriseur type ""C27""",7,773214,AZO81184,OK
OP299794,A999999,ORDER,1765284938,476097,,,,,,166092,FOD81008,OK
OP299795,A000017,MOVE,1765284959,444643,QUA,ST20,P00C37,"Edriseur type ""C37""",74,243053,AZO80905,OK
OP299796,A999999,ORDER,1765285024,69417,,,,,,501677,FOD81952,OK
OP299797,A999999,ORDER,1765285049,697994,,,,,,437699,GAA80002,OK
OP299798,A000127,MOVE,1765285113,369947,ST20,TPA,P00C37,"Edriseur type ""C37""",74,310615,AZO80905,OK
OP299799,A999999,ORDER,1765285176,633292,,,,,,440216,AZO81431,OK
OP299800,A000017,MOVE,1765285332,526999,TPA,SHIP,P00C18,"Edriseur type ""C18""",2,59251,AZO80849,OK
OP299801,A000024,MOVE,1765285374,204034,PROD,TPA,P00C18,"Edriseur type ""C18""",27,717183,GAA80002,OK
OP299802,A000017,MOVE,1765285473,28871,PROD,ST10,P00X25,"Edriseur nouveau ""2025""",132,36469,AZO81431,OK
OP299803,A000024,MOVE,1765285506,653251,PROD,TPA,P00X99,"Edriseur luxe ""X99""",19,593049,FOD81008,OK
OP299804,A000106,MOVE,1765285554,246680,PROD,ST20,P00C19,"Edriseur type ""C19""",34,468742,FOD81952,OK
OP299805,A000017,MOVE,1765285666,66886,TPA,SHIP,P00C27,"Edriseur type ""C27""",7,98587,AZO81184,OK
OP299806,A000024,MOVE,1765285692,294145,TPA,SHIP,P00C37,"Edriseur type ""C37""",74,147091,AZO80905,OK
OP299807,A000024,MOVE,1765285695,194443,ST20,QUA,P00C19,"Edriseur type ""C19""",34,32322,FOD81952,OK
OP299808,A000024,MOVE,1765285735,767256,ST10,QUA,P00X25,"Edriseur nouveau ""2025""",132,504004,AZO81431,OK
OP299809,A000024,MOVE,1765285752,142735,TPA,SHIP,P00X99,"Edriseur luxe ""X99""",6,70732,AZO81610,OK
